timestamp,predicted_traffic_mb,uncertainty_std_mb,lower_bound_mb,upper_bound_mb
2025-01-27 00:00:00,515.6392593975156,529.1669566508649,3.0,1573.9731726992454
2025-01-27 00:30:00,498.9234938979022,396.40333300464596,3.0,1291.730159907194
2025-01-27 01:00:00,543.3739023780284,386.06195424072394,3.0,1315.4978108594764
2025-01-27 01:30:00,420.211144746599,472.60528728750177,3.0,1365.4217193216027
2025-01-27 02:00:00,429.0425823939645,345.15548986600703,3.0,1119.3535621259784
2025-01-27 02:30:00,309.34236827523335,557.1833457728629,3.0,1423.709059820959
2025-01-27 03:00:00,466.28636624880244,616.2861810218828,3.0,1698.8587282925682
2025-01-27 03:30:00,616.8251640396901,459.62203248335385,3.0,1536.0692290063978
2025-01-27 04:00:00,581.3054385886115,492.013945136424,3.0,1565.3333288614597
2025-01-27 04:30:00,553.024282579918,334.6011563497435,3.0,1222.226595279405
2025-01-27 05:00:00,478.238018415845,711.866000926306,3.0,1901.970020268457
2025-01-27 05:30:00,657.2022197275163,327.31837720096536,3.0,1311.838974129447
2025-01-27 06:00:00,548.856893241829,597.4987691063928,3.0,1743.8544314546145
2025-01-27 06:30:00,757.6297574844424,560.8454873112737,3.0,1879.3207321069897
2025-01-27 07:00:00,846.2506086678869,730.805389837434,3.0,2307.8613883427547
2025-01-27 07:30:00,1115.0017862317638,1087.0270137994187,3.0,3289.055813830602
2025-01-27 08:00:00,979.6769348786186,599.2108699262168,3.0,2178.098674731052
2025-01-27 08:30:00,924.642313560873,705.0006690107399,3.0,2334.643651582353
2025-01-27 09:00:00,1496.0397371787678,1363.6608230336667,3.0,4223.3613832461015
2025-01-27 09:30:00,1846.8866795155989,1395.2887988850134,3.0,4637.464277285626
2025-01-27 10:00:00,2429.8302897733456,2454.7587370280808,3.0,7339.347763829508
2025-01-27 10:30:00,2096.186100315901,1642.0544755772592,3.0,5380.29505147042
2025-01-27 11:00:00,2101.6916318184467,1694.762911088101,3.0,5491.217453994649
2025-01-27 11:30:00,2592.209270766393,2156.263566741735,3.0,6904.736404249863
2025-01-27 12:00:00,2497.2435063668427,2463.089705042186,3.0,7423.422916451214
2025-01-27 12:30:00,3397.0948873153707,2428.9668151961905,3.0,8255.028517707753
2025-01-27 13:00:00,2021.7543953979741,1996.502628633356,3.0,6014.759652664687
2025-01-27 13:30:00,2800.651193370137,2574.220484666761,3.0,7949.092162703659
2025-01-27 14:00:00,1683.7753614029039,1579.397795460131,3.0,4842.570952323166
2025-01-27 14:30:00,2317.153735394048,2163.7659244849856,3.0,6644.685584364019
2025-01-27 15:00:00,2172.5905655256324,1674.7007955469394,3.0,5521.992156619512
2025-01-27 15:30:00,2572.18727110245,1930.7633787833481,3.0,6433.7140286691465
2025-01-27 16:00:00,2025.2023931799938,1745.9279313856182,3.0,5517.05825595123
2025-01-27 16:30:00,1804.4402169791986,1734.017516230681,3.0,5272.47524944056
2025-01-27 17:00:00,2037.2293114698768,1436.5948648370913,3.0,4910.4190411440595
2025-01-27 17:30:00,1461.408004984118,1309.4499084469762,3.0,4080.3078218780706
2025-01-27 18:00:00,1359.7590978812914,1001.9497400737549,3.0,3363.6585780288015
2025-01-27 18:30:00,1345.1693116557528,983.6895648223226,3.0,3312.548441300398
2025-01-27 19:00:00,993.3857114848006,569.7149483373503,3.0,2132.815608159501
2025-01-27 19:30:00,735.5022067078852,755.0521048375357,3.0,2245.606416382957
2025-01-27 20:00:00,606.4089270543808,438.52169936878033,3.0,1483.4523257919416
2025-01-27 20:30:00,744.7530149397618,632.4639285993536,3.0,2009.680872138469
2025-01-27 21:00:00,567.2269482611504,810.0501787872882,3.0,2187.3273058357267
2025-01-27 21:30:00,998.1488822943927,1441.2859985001826,3.0,3880.720879294758
2025-01-27 22:00:00,482.4405268309337,593.4259165133917,3.0,1669.2923598577172
2025-01-27 22:30:00,447.2330341299953,846.7869660126399,3.0,2140.806966155275
