timestamp,traffic_mb
2025-01-06 00:00:00,77.55
2025-01-06 00:30:00,70.86
2025-01-06 01:00:00,61.56
2025-01-06 01:30:00,31.74
2025-01-06 02:00:00,173.36
2025-01-06 02:30:00,130.39
2025-01-06 03:00:00,81.86
2025-01-06 03:30:00,171.6
2025-01-06 04:00:00,159.95
2025-01-06 04:30:00,51.57
2025-01-06 05:00:00,125.59
2025-01-06 05:30:00,121.23
2025-01-06 06:00:00,200.0
2025-01-06 06:30:00,500.0
2025-01-06 07:00:00,800.0
2025-01-06 07:30:00,1100.0
2025-01-06 08:00:00,1400.0
2025-01-06 08:30:00,1700.0
2025-01-06 09:00:00,6028.67
2025-01-06 09:30:00,2190.77
2025-01-06 10:00:00,3332.52
2025-01-06 10:30:00,9790.29
2025-01-06 11:00:00,4243.96
2025-01-06 11:30:00,7033.84
2025-01-06 12:00:00,9673.81
2025-01-06 12:30:00,5179.87
2025-01-06 13:00:00,5530.95
2025-01-06 13:30:00,6971.83
2025-01-06 14:00:00,8134.36
2025-01-06 14:30:00,3522.21
2025-01-06 15:00:00,4632.23
2025-01-06 15:30:00,2151.07
2025-01-06 16:00:00,8758.88
2025-01-06 16:30:00,3904.01
2025-01-06 17:00:00,2000.0
2025-01-06 17:30:00,2000.0
2025-01-06 18:00:00,2000.0
2025-01-06 18:30:00,2000.0
2025-01-06 19:00:00,1252.75
2025-01-06 19:30:00,1656.11
2025-01-06 20:00:00,524.9
2025-01-06 20:30:00,509.26
2025-01-06 21:00:00,505.65
2025-01-06 21:30:00,814.34
2025-01-06 22:00:00,982.37
2025-01-06 22:30:00,1263.52
2025-01-06 23:00:00,1722.9
2025-01-06 23:30:00,852.33
2025-01-07 00:00:00,60.82
2025-01-07 00:30:00,93.82
2025-01-07 01:00:00,167.25
2025-01-07 01:30:00,124.36
2025-01-07 02:00:00,104.79
2025-01-07 02:30:00,138.49
2025-01-07 03:00:00,133.93
2025-01-07 03:30:00,136.54
2025-01-07 04:00:00,111.25
2025-01-07 04:30:00,40.0
2025-01-07 05:00:00,151.96
2025-01-07 05:30:00,72.07
2025-01-07 06:00:00,200.0
2025-01-07 06:30:00,500.0
2025-01-07 07:00:00,800.0
2025-01-07 07:30:00,1100.0
2025-01-07 08:00:00,1400.0
2025-01-07 08:30:00,1700.0
2025-01-07 09:00:00,4495.17
2025-01-07 09:30:00,2965.68
2025-01-07 10:00:00,4855.65
2025-01-07 10:30:00,2461.31
2025-01-07 11:00:00,9917.35
2025-01-07 11:30:00,7913.34
2025-01-07 12:00:00,5932.93
2025-01-07 12:30:00,9666.02
2025-01-07 13:00:00,7011.73
2025-01-07 13:30:00,2337.72
2025-01-07 14:00:00,7177.37
2025-01-07 14:30:00,4150.95
2025-01-07 15:00:00,9063.42
2025-01-07 15:30:00,4055.5
2025-01-07 16:00:00,6261.2
2025-01-07 16:30:00,6657.0
2025-01-07 17:00:00,2000.0
2025-01-07 17:30:00,2000.0
2025-01-07 18:00:00,2000.0
2025-01-07 18:30:00,2000.0
2025-01-07 19:00:00,1411.84
2025-01-07 19:30:00,645.4
2025-01-07 20:00:00,244.04
2025-01-07 20:30:00,235.25
